NCMs;CFOPs;Descrição;Monofásico?;Data
 4811-41-10;5405.0;FITA CREPE 18mmX50m   NORTON;Não;2020-01-07 00:00:00
 5603-94-20;5102.0;PLASTICO MESA ALKO TERMICO FORMIGUINHAS 1,4M;Não;2020-01-04 00:00:00
 5603-94-20;5102.0;PLASTICO TERMICO CHARLOTTE AZL 1,40 M LARG;Não;2020-01-13 00:00:00
 5607-49-00;5405.0;REDEA SEDA VERMELHA/PRETA;Não;2020-01-23 00:00:00
 5607-49-00;5405.0;CORDA 04mm TRANÇADA POLIESTER   POLIBEL;Não;2020-01-31 00:00:00
 5607-50-90;5405.0;CORDA 06mm;Não;2020-01-17 00:00:00
 5607-59-00;5102.0;CORDA 12mm TRANÇADA SEDA RIOMAR;Não;2020-01-14 00:00:00
 6101-30-00;5405.0;CAPA CHUVA CAVALEIRO;Não;2020-01-20 00:00:00
 6307-10-00;5405.0;SACO PANO ALVEJADO;Não;2020-01-22 00:00:00
 6401-92-00;5405.0;BOTA PEGA FORTE C MD N.41 PTO/AM  GRANDENE;Não;2020-01-06 00:00:00
 6401-92-00;5102.0;BOTA BASPAN PVC PRETA C.MEDIO S/FORRO N.43;Não;2020-01-09 00:00:00
 6401-92-00;5405.0;BOTA PEGA FORTE C MD N.43/44 PTO/AM  GRANDENE;Não;2020-01-20 00:00:00
 6402-91-90;5405.0;BOTA PEGA FORTE C MD N.45/46 PTO/AM SF  GRANDENE;Não;2020-01-02 00:00:00
 6402-91-90;5102.0;BOTA PEGA FORTE C MD N.43 PTO/AM GRANDENE;Não;2020-01-14 00:00:00
 6402-91-90;5102.0;BOTA PEGA FORTE C MD N.44 PTO/AM GRANDENE;Não;2020-01-20 00:00:00
 6405-10-10;5102.0;BOTA SERVICO MOD.503 DALLAS LATEGO;Não;2020-01-27 00:00:00
 6804-21-19;5102.0;DISCO DIAMANTADO TURBO;Não;2020-01-14 00:00:00
 6804-21-19;5102.0;DISCO DIAMANTADO TURBO  110mmX20mm  THOMPSON;Não;2020-01-14 00:00:00
 6804-21-19;5405.0;DISCO CORTE DIAMANTADO CONTINUO NORTON CLASSIC;Não;2020-01-24 00:00:00
 6804-22-11;5102.0;DISCO DESBASTE 4.1/2X3/16X7/8 ICDER;Não;2020-01-02 00:00:00
 6804-22-11;5405.0;DISCO DESBASTE 4.1/2X3/16X7/8   ICDER;Não;2020-01-06 00:00:00
 6804-22-11;5102.0;DISCO CORTE STANLEY INOX 7´´ x 1,16 x 7/8;Não;2020-01-08 00:00:00
 6804-22-11;5102.0;DISCO CORTE STANLEY 4.1/2X1/25X7/8;Não;2020-01-08 00:00:00
 6804-22-11;5102.0;PONTA MONTADA A-12 GRAO OXIDO DE ALUINIO R;Não;2020-01-17 00:00:00
 6804-22-11;5405.0;DISCO CORTE 04 1/2X1/8 X20 ICDER;Não;2020-01-21 00:00:00
 6804-22-11;5102.0;DISCO LIXA FERRO  4.1/2´´  036   FORT;Não;2020-01-25 00:00:00
 6804-22-19;5102.0;REBOLO 6 X3/4 X1 1/4 LCW GROSSO CARBURUNDUN;Não;2020-01-09 00:00:00
